Algorithm,Rejection sampling,,,,,Likily-hood sampling,,,,
# samples,200,400,600,800,1000,200,400,600,800,1000
trail1,0.5,0.315789,0.310345,0.407407,0.441176,0.343741,0.343641,0.369111,0.364738,0.419542
trail2,0.25,0.5,0.5,0.258065,0.35,0.38112,0.40237,0.388976,0.413753,0.367964
trail3,0.5,0.5,0.136364,0.290323,0.428571,0.340593,0.359771,0.344061,0.408695,0.396542
trail4,0.214286,0.571429,0.478261,0.371429,0.189189,0.373742,0.371838,0.365574,0.382552,0.362269
trail5,0.571429,0.3125,0.333333,0.151515,0.37931,0.395362,0.357481,0.380969,0.39255,0.375072
trail6,0.375,0.666667,0.233333,0.263158,0.439024,0.390704,0.372775,0.376853,0.398935,0.373945
trail7,0.5,0.5,0.285714,0.461538,0.410256,0.445145,0.366015,0.396328,0.384426,0.396751
trail8,0,0.538462,0.28,0.344828,0.55632,0.341406,0.407574,0.383919,0.387174,0.397791
trail9,0.25,0.111111,0.48,0.405405,0.439024,0.413273,0.398474,0.375949,0.389005,0.385979
trail10,0.555556,0.4375,0.380952,0.444444,0.416667,0.425933,0.42649,0.393058,0.390961,0.378586
Mean,0.3716271,0.4453458,0.3418302,0.3398112,0.4049537,0.3851019,0.3806429,0.3774798,0.3912789,0.3854441
Variance,0.035072227,0.025413261,0.014030665,0.009569414,0.008611154,0.001327624,0.000701324,0.000235008,0.000190922,0.000299543